slug,ts_utc,direction,btc_move_bps,pm_move_cents_same_window,1_steps,2_steps,3_steps,5_steps,8_steps,10_steps
btc-updown-5m-1774588500,2026-03-27T05:15:21.272+00:00,up,3.9206992668913623,-0.5000000000000004,0.0,0.5000000000000004,1.0000000000000009,2.500000000000002,3.0000000000000027,4.5000000000000036
btc-updown-5m-1774588500,2026-03-27T05:15:21.469+00:00,up,3.9206992668913623,-0.5000000000000004,0.5000000000000004,1.0000000000000009,1.0000000000000009,4.5000000000000036,3.0000000000000027,2.500000000000002
btc-updown-5m-1774588500,2026-03-27T05:15:21.663+00:00,up,3.9206992668913623,0.0,0.5000000000000004,0.5000000000000004,2.0000000000000018,5.500000000000005,4.0000000000000036,3.0000000000000027
btc-updown-5m-1774588800,2026-03-27T05:20:08.273+00:00,down,-3.352335793739789,0.0,-0.0,-0.0,0.5000000000000004,2.0000000000000018,3.0000000000000027,3.0000000000000027
btc-updown-5m-1774588800,2026-03-27T05:20:07.869+00:00,down,-3.0862326949615198,1.0000000000000009,1.4999999999999958,1.4999999999999958,1.4999999999999958,1.9999999999999962,3.9999999999999982,4.499999999999998
btc-updown-5m-1774588200,2026-03-27T05:14:20.672+00:00,up,2.6901992260469427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc-updown-5m-1774588200,2026-03-27T05:11:50.265+00:00,down,-2.679570912800696,1.5000000000000013,3.4999999999999973,2.9999999999999973,3.9999999999999982,3.9999999999999982,3.9999999999999982,3.9999999999999982
btc-updown-5m-1774588200,2026-03-27T05:11:50.463+00:00,down,-2.679570912800696,0.0,-0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,-0.5000000000000004
btc-updown-5m-1774588200,2026-03-27T05:11:50.672+00:00,down,-2.679570912800696,2.0000000000000018,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,-0.5000000000000004
btc-updown-5m-1774588200,2026-03-27T05:14:21.068+00:00,up,2.3149746659265094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc-updown-5m-1774588200,2026-03-27T05:14:21.268+00:00,up,2.3149746659265094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btc-updown-5m-1774588800,2026-03-27T05:22:17.062+00:00,up,2.251939274460714,-3.0,0.0,0.0,0.0,0.0,-1.0000000000000009,-1.0000000000000009
btc-updown-5m-1774588800,2026-03-27T05:22:17.263+00:00,up,2.251939274460714,-2.500000000000002,0.0,0.0,0.0,0.0,-1.0000000000000009,-1.9999999999999991
btc-updown-5m-1774588800,2026-03-27T05:22:17.476+00:00,up,2.251939274460714,-3.0,0.0,0.0,0.0,-0.5000000000000004,-1.0000000000000009,-1.9999999999999991
btc-updown-5m-1774588800,2026-03-27T05:22:17.670+00:00,up,2.251939274460714,-2.0000000000000018,0.0,0.0,0.0,-1.0000000000000009,-1.9999999999999991,-1.9999999999999991
btc-updown-5m-1774589100,2026-03-27T05:25:16.264+00:00,down,-2.2482817663945345,-0.4999999999999949,-0.0,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
btc-updown-5m-1774589100,2026-03-27T05:25:16.462+00:00,down,-2.2482817663945345,0.0,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
btc-updown-5m-1774588800,2026-03-27T05:20:51.674+00:00,down,-2.118990168488975,0.0,-0.0,-0.0,-0.0,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027
btc-updown-5m-1774588800,2026-03-27T05:20:51.866+00:00,down,-2.118990168488975,0.0,-0.0,-0.0,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027
btc-updown-5m-1774588800,2026-03-27T05:20:52.069+00:00,down,-2.118990168488975,0.0,-0.0,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027
btc-updown-5m-1774588200,2026-03-27T05:12:06.669+00:00,up,2.0068667465236767,-0.5000000000000004,0.0,0.0,0.5000000000000004,1.5000000000000013,4.5000000000000036,4.5000000000000036
btc-updown-5m-1774588200,2026-03-27T05:12:06.061+00:00,up,1.957997065431659,-3.0000000000000027,0.0,1.0000000000000009,2.500000000000002,2.500000000000002,4.0000000000000036,7.000000000000006
btc-updown-5m-1774588200,2026-03-27T05:12:06.262+00:00,up,1.957997065431659,-5.500000000000005,1.0000000000000009,2.500000000000002,2.500000000000002,3.0000000000000027,5.000000000000004,7.000000000000006
btc-updown-5m-1774588200,2026-03-27T05:12:06.475+00:00,up,1.957997065431659,-3.0000000000000027,1.5000000000000013,1.5000000000000013,1.5000000000000013,2.0000000000000018,6.000000000000005,6.000000000000005
btc-updown-5m-1774588200,2026-03-27T05:14:14.063+00:00,up,1.8062332427987478,0.0,0.0,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
